lambda,h,B,main_G_sup_upper,repair_Y_log10_upper,repair_detaY_log10_upper,repair_source_log10_upper,main_source_upper,full_Q_lower,min_equilibrium_Q,fraction_min_equilibrium_lower,B_strict_sufficient_limit_lower,positive_certified,scope,interval_decimal_digits
1e-05,1e-10,1.0,9.242193420794054e-86,-325715.4260787068,-325714.9737810358,-325714.9489519028,3.3272321455755957e-85,9.999999999999996e-06,1e-05,0.9999999999999997,3.005471083013374e+79,True,scalar angular lag on the entire pulse only; conditional input bounds,70
0.0001,1e-09,1.0,2.3834448051199102e-20,-32567.65079401195,-32567.198496340956,-32567.173617267592,8.581497683042033e-20,0.0001000090009000899,0.00010000900090009,0.9999999999999989,1165286103818553.8,True,scalar angular lag on the entire pulse only; conditional input bounds,70
0.001,1e-08,1.0,9.162824263558342e-06,-3253.7732655424597,-3253.320967871465,-3253.29558971014,3.3028316340422413e-05,0.0009679296132728502,0.001000990990990991,0.966971353373111,30.276747675937113,True,scalar angular lag on the entire pulse only; conditional input bounds,70
0.005,5e-08,1.0,0.0015051382615802879,-648.7053441272856,-648.2530464562909,-648.2254570392987,0.0054531159217053845,-0.0004554431373923447,0.0050250753768844225,-0.09063409068198343,0.916897801511679,False,scalar angular lag on the entire pulse only; conditional input bounds,70
0.008,8e-08,1.0,0.003323739063246534,-404.6188180393625,-404.16652036836786,-404.13727986702924,0.012087774225214997,-0.004120820791547375,0.008064435483870968,-0.5109868880207546,0.6618191116866025,False,scalar angular lag on the entire pulse only; conditional input bounds,70
0.008333333333333333,8.333333333333334e-08,1.0,0.0035364783471904956,-388.35050373495096,-387.89820606395637,-387.8687824956731,0.012866887053194756,-0.004571734843557735,0.00840327731092437,-0.5440418868022385,0.6476508238199629,False,scalar angular lag on the entire pulse only; conditional input bounds,70
